qid,metric,value,Method
263,AP,0.0,BM25
263,RR,0.0,BM25
263,P@1,0.0,BM25
263,P@5,0.0,BM25
263,P@10,0.0,BM25
263,nDCG@10,0.0,BM25
263,nDCG@20,0.0,BM25
326,AP,0.0,BM25
326,RR,0.0,BM25
326,P@1,0.0,BM25
326,P@5,0.0,BM25
326,P@10,0.0,BM25
326,nDCG@10,0.0,BM25
326,nDCG@20,0.0,BM25
381,AP,0.0,BM25
381,RR,0.0,BM25
381,P@1,0.0,BM25
381,P@5,0.0,BM25
381,P@10,0.0,BM25
381,nDCG@10,0.0,BM25
381,nDCG@20,0.0,BM25
480,AP,0.0,BM25
480,RR,0.0,BM25
480,P@1,0.0,BM25
480,P@5,0.0,BM25
480,P@10,0.0,BM25
480,nDCG@10,0.0,BM25
480,nDCG@20,0.0,BM25
515,AP,0.3333333333333333,BM25
515,RR,1.0,BM25
515,P@1,1.0,BM25
515,P@5,0.2,BM25
515,P@10,0.1,BM25
515,nDCG@10,0.5562983930884396,BM25
515,nDCG@20,0.5562983930884396,BM25
594,AP,0.0,BM25
594,RR,0.0,BM25
594,P@1,0.0,BM25
594,P@5,0.0,BM25
594,P@10,0.0,BM25
594,nDCG@10,0.0,BM25
594,nDCG@20,0.0,BM25
680,AP,0.05555555555555555,BM25
680,RR,0.5,BM25
680,P@1,0.0,BM25
680,P@5,0.2,BM25
680,P@10,0.1,BM25
680,nDCG@10,0.15563879128696137,BM25
680,nDCG@20,0.15563879128696137,BM25
788,AP,0.21666666666666667,BM25
788,RR,0.25,BM25
788,P@1,0.0,BM25
788,P@5,0.4,BM25
788,P@10,0.2,BM25
788,nDCG@10,0.411145570266232,BM25
788,nDCG@20,0.411145570266232,BM25
845,AP,0.01111111111111111,BM25
845,RR,0.05555555555555555,BM25
845,P@1,0.0,BM25
845,P@5,0.0,BM25
845,P@10,0.0,BM25
845,nDCG@10,0.0,BM25
845,nDCG@20,0.07984133538066794,BM25
1008,AP,0.0,BM25
1008,RR,0.0,BM25
1008,P@1,0.0,BM25
1008,P@5,0.0,BM25
1008,P@10,0.0,BM25
1008,nDCG@10,0.0,BM25
1008,nDCG@20,0.0,BM25
1069,AP,0.0,BM25
1069,RR,0.0,BM25
1069,P@1,0.0,BM25
1069,P@5,0.0,BM25
1069,P@10,0.0,BM25
1069,nDCG@10,0.0,BM25
1069,nDCG@20,0.0,BM25
1168,AP,0.0,BM25
1168,RR,0.0,BM25
1168,P@1,0.0,BM25
1168,P@5,0.0,BM25
1168,P@10,0.0,BM25
1168,nDCG@10,0.0,BM25
1168,nDCG@20,0.0,BM25
1327,AP,1.0,BM25
1327,RR,1.0,BM25
1327,P@1,1.0,BM25
1327,P@5,0.2,BM25
1327,P@10,0.1,BM25
1327,nDCG@10,1.0,BM25
1327,nDCG@20,1.0,BM25
1421,AP,0.1111111111111111,BM25
1421,RR,1.0,BM25
1421,P@1,1.0,BM25
1421,P@5,0.2,BM25
1421,P@10,0.1,BM25
1421,nDCG@10,0.10663587437715229,BM25
1421,nDCG@20,0.10663587437715229,BM25
1498,AP,1.0,BM25
1498,RR,1.0,BM25
1498,P@1,1.0,BM25
1498,P@5,1.0,BM25
1498,P@10,0.5,BM25
1498,nDCG@10,1.0,BM25
1498,nDCG@20,1.0,BM25
1586,AP,0.0,BM25
1586,RR,0.0,BM25
1586,P@1,0.0,BM25
1586,P@5,0.0,BM25
1586,P@10,0.0,BM25
1586,nDCG@10,0.0,BM25
1586,nDCG@20,0.0,BM25
1652,AP,0.0,BM25
1652,RR,0.0,BM25
1652,P@1,0.0,BM25
1652,P@5,0.0,BM25
1652,P@10,0.0,BM25
1652,nDCG@10,0.0,BM25
1652,nDCG@20,0.0,BM25
1832,AP,0.03333333333333333,BM25
1832,RR,0.06666666666666667,BM25
1832,P@1,0.0,BM25
1832,P@5,0.0,BM25
1832,P@10,0.0,BM25
1832,nDCG@10,0.0,BM25
1832,nDCG@20,0.1532867981913646,BM25
1989,AP,0.009259259259259259,BM25
1989,RR,0.037037037037037035,BM25
1989,P@1,0.0,BM25
1989,P@5,0.0,BM25
1989,P@10,0.0,BM25
1989,nDCG@10,0.0,BM25
1989,nDCG@20,0.0,BM25
2217,AP,0.5130036630036631,BM25
2217,RR,1.0,BM25
2217,P@1,1.0,BM25
2217,P@5,0.6,BM25
2217,P@10,0.3,BM25
2217,nDCG@10,0.6868396648684671,BM25
2217,nDCG@20,0.7577257078824686,BM25
2255,AP,0.0,BM25
2255,RR,0.0,BM25
2255,P@1,0.0,BM25
2255,P@5,0.0,BM25
2255,P@10,0.0,BM25
2255,nDCG@10,0.0,BM25
2255,nDCG@20,0.0,BM25
2462,AP,0.29166666666666663,BM25
2462,RR,0.5,BM25
2462,P@1,0.0,BM25
2462,P@5,0.4,BM25
2462,P@10,0.2,BM25
2462,nDCG@10,0.3058477299112341,BM25
2462,nDCG@20,0.3058477299112341,BM25
2490,AP,0.0,BM25
2490,RR,0.0,BM25
2490,P@1,0.0,BM25
2490,P@5,0.0,BM25
2490,P@10,0.0,BM25
2490,nDCG@10,0.0,BM25
2490,nDCG@20,0.0,BM25
2519,AP,0.0,BM25
2519,RR,0.0,BM25
2519,P@1,0.0,BM25
2519,P@5,0.0,BM25
2519,P@10,0.0,BM25
2519,nDCG@10,0.0,BM25
2519,nDCG@20,0.0,BM25
2739,AP,0.0,BM25
2739,RR,0.0,BM25
